[05/27/21 00:02:00] [INFO] received Windows console close event; shutting log-core down
[05/27/21 00:02:51] [INFO] received Windows console close event; shutting log-core down
[05/27/21 00:15:59] [INFO] received Windows console close event; shutting log-core down
[05/27/21 00:16:00] [INFO] received Windows console close event; shutting log-core down
[05/27/21 00:16:37] [INFO] received Windows console close event; shutting log-core down
[05/27/21 00:16:39] [INFO] received Windows console close event; shutting log-core down
[05/27/21 00:49:25] [INFO] received Windows console close event; shutting log-core down
[05/27/21 01:38:35] [INFO] received Windows console close event; shutting log-core down
[05/27/21 01:58:55] [INFO] received Windows console close event; shutting log-core down
[05/27/21 02:34:43] [INFO] received Windows console close event; shutting log-core down
[05/27/21 02:55:10] [INFO] received Windows console close event; shutting log-core down
[05/27/21 03:01:23] [INFO] received Windows console close event; shutting log-core down
[05/27/21 03:04:42] [INFO] received Windows console close event; shutting log-core down
[05/27/21 03:37:49] [INFO] received Windows console close event; shutting log-core down
[05/27/21 03:47:12] [INFO] received Windows console close event; shutting log-core down
[05/27/21 04:00:08] [INFO] received Windows console close event; shutting log-core down
[05/27/21 04:48:29] [INFO] received Windows console close event; shutting log-core down
[05/27/21 05:02:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/27/21 10:14:31] [INFO] received Windows console close event; shutting log-core down
[05/27/21 13:06:01] [INFO] received Windows console close event; shutting log-core down
[05/27/21 23:27:29] [INFO] received Windows console close event; shutting log-core down
[05/29/21 10:22:24] [INFO] received Windows console close event; shutting log-core down
[05/29/21 20:13:15] [INFO] received Windows console close event; shutting log-core down
[05/30/21 02:17:01] [INFO] received Windows console close event; shutting log-core down
[05/30/21 02:21:17] [INFO] received Windows console close event; shutting log-core down
[05/30/21 02:49:24] [INFO] received Windows console close event; shutting log-core down
[05/30/21 03:11:45] [INFO] received Windows console close event; shutting log-core down
[05/30/21 03:28:33] [INFO] received Windows console close event; shutting log-core down
[05/30/21 03:42:52] [INFO] received Windows console close event; shutting log-core down
[05/30/21 03:56:46] [INFO] received Windows console close event; shutting log-core down
[05/30/21 04:05:42] [INFO] received Windows console close event; shutting log-core down
[05/30/21 04:10:03] [INFO] received Windows console close event; shutting log-core down
[05/30/21 11:59:23] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[05/30/21 12:12:44] [INFO] received Windows console close event; shutting log-core down
[05/30/21 12:44:56] [INFO] received Windows console close event; shutting log-core down
[05/30/21 13:16:30] [INFO] received Windows console close event; shutting log-core down
[05/30/21 16:25:26] [INFO] received Windows console close event; shutting log-core down
[05/30/21 16:27:36] [INFO] received Windows console close event; shutting log-core down
